,City,NickName,Province,Sex,Signature
76,武汉,石三少,湖北,1,18372615576
77,揭阳,Soyen,广东,2,只要心是善良的  对与错是别人的
78,深圳,冠头,广东,1,相由心生，境随心转
79,武汉,野马驰途,湖北,1,"<span class=""emoji emoji1f436""></span>的波波"
80,,Livia_Peng,,2,普通人的普通都是相似的，牛掰的人各有各的牛掰
81,黄冈,cdsunshine,湖北,2,一生温暖纯良  不舍爱与自由
82,武汉,小豪,湖北,1,莫道君行早，更有早行人
83,杨浦,IELTS  Simon,上海,0,专注，高效
84,,豆豆,江西,2,得不到的永远在骚动  被偏爱的总是有恃无恐
85,深圳,爱哭的毛毛虫,广东,1,让时间的风吹走记忆的伤！
86,十堰,依米,湖北,2,
87,Geelong,墨染流絮。只是曾经,Victoria,2, 最初不相识     最终不相认
88,深圳,Dylan,广东,1,
89,深圳,Sim.Liu,广东,1,如果钢琴失去了白健，是不是永远弹奏出的只有悲伤与离别……
90,,Barret,,0,
91,深圳,🍒 鸳儿,广东,2,"越是努力，越是幸福。😇 😇 <span class=""emoji emoji1f4aa""></span> <span class=""emoji emoji1f4aa""></span> <span class=""emoji emoji1f4aa""></span>"
92,深圳,我换网名了,广东,1,圣母毁江山，鸡汤亡社稷。
93,厦门,柯浩,福建,2,"因为是你，所以我都喜欢<span class=""emoji emoji2764""></span>️"
94,深圳,初遇,广东,1,
95,武汉,阿慌,湖北,2,9449266428326474689653942464436548
96,汕头,花花wings,广东,2,
97,深圳,Fallune立白,广东,1,水管在开花 叶子有翅膀
98,深圳,斌/Ben,广东,1,
99,,Fonnie,,2,"Rahhh.<span class=""emoji emoji1f383""></span>"
100,深圳,A꧁吉祥连连꧂,广东,2,"（个人,团体体检预约热线18938632456）富有爱心并永远乐观向上"
101,武汉,anine,湖北,2,你是吉人 自有天相
102,,Hell Angel。,Munich,2,"<span class=""emoji emoji1f41f""></span><span class=""emoji emoji2b50""></span>️<span class=""emoji emoji1f319""></span>"
103,南昌,李堂文,江西,1,大神降临
104,深圳,我与世界只差一个你,广东,1,有朝一日鲜衣怒马，娶你回家。
105,沙坪坝,一十八子月月飞,重庆,1,花开堪折直需折，莫待无花空折枝。
106,,独守一座空城,,2,
107,深圳,Zoo的菠萝,广东,2,疾风呢 给我一场开挂了的人生
108,,伊兰,Jujuy,2,在流年里等待花开，处繁华中守住真 淳，于纷芜中静养心性。
109,武汉,嘟嘟,湖北,2,嘻嘿哈哈哈哈哈哈哈
110,深圳,Sharon,广东,2,"Above all , may you always have positive thoughts ."
111,深圳,单曲回放,广东,1,
112,咸宁,Lynn Lei缘,湖北,1,做一个有趣的人。感恩2014_5_6_期待简单幸福2018.健康快乐！
113,深圳,燕,广东,2,你赢，我陪你君领天下，你输，我陪你东山在起！
114,深圳,辛德瑞拉,广东,2,努力跟不努力的结果是完全不一样的。
115,,bear,Paris,1,我到底是小棉羊还是大熊本呢
116,厦门,自律给我自由,福建,1,自律给我自由
117,深圳,Sugar,广东,2,哦
118,,方晴,,1,一杯敬故乡 一杯敬远方
119,,有趣的妖魔,,2,
120,武汉,🍉西西,湖北,2,生活其实很累，有你才会安心
121,深圳,面包树,广东,2,愿君前路，繁花似锦。
122,,River,上海,1,【hsf88.cn】stay hungry，stay foolish.
123,十堰,早一,湖北,2,专业与赤诚
124,深圳,Allen,广东,1,halo
125,长沙,刘璐,湖南,2,潇洒！再潇洒一点~~
126,深圳,GOGO,广东,2,初念浅。转念深。
127,十堰,灰二十一点A,湖北,1,个人爱好：旅行 网球 民谣 历史 武侠 纪实
128,十堰,汪涛（Victon）,湖北,1,人与人之间认知差异的逐步增大，最终竟形成了物种差异！！！
129,杭州,顾,浙江,2,白茶清欢无别事
130,厦门,Michael,福建,1,任何事情到了最后都是好的  如果不好  说明还没到最后
131,西安,恩,陕西,1,愿一切安好，你我都好
132,武汉,杜巧,湖北,2,
133,深圳,周雄😁😁,广东,1,"等老了，和心爱的人，找一个海边看夕阳<span class=""emoji emoji1f307""></span>"
134,武汉,charles,湖北,1,人最容易做的是变化无常，最难做的是始终如一
135,武汉,蔡楷龙,湖北,1,努力--前行
136,深圳,张凯,广东,1,"Change you can change, accept you can't change!"
137,,钱发发,Dubayy,1,我看青山多妩媚
138,荃湾区,丰泽国际,香港,1,
139,,jamesxu 小剑👍,Canberra,2,I don't know
140,杭州,海魂,浙江,1,
141,深圳,遥遥 🍂,广东,2,
142,,咖啡豆儿,,2,I am coffee bean
143,,喵喵🐱,,2,
144,武汉,博弈,湖北,1,趋势为王，顺势而为！
145,郴州,Vivian,湖南,2,想要成为网黄老阿姨
146,武汉,徐寒,湖北,1,无拘无束
147,芜湖,惜顔(Blank)°💋,安徽,2, “愿生活不太拥挤  愿笑容不必刻意 ” ​​​​
148,武汉,A恒鑫金融--高,湖北,1,你不优秀，认识谁都没有用。
149,武汉,xx,湖北,2,still moving under the gunfire
150,咸宁,小左,湖北,2,这就是生活
151,深圳,ちび甜儿,广东,1,Work hard，be kind，amazing things will happen。
152,深圳,咕噜咕噜叉,广东,1,回头见
153,武汉,淡0漠,湖北,1,不得不相信时间
